# Preset bank D: DRIFT drums
# 001-024 low · 025-048 snap · 049-072 hat · 073-096 metal · 097-160 hand · 161-192 wood · 193-224 slice · 225-256 loop
# slot | NAME (12 max) | recipe        | tags                   | sample on the +Drive | parameters
164 | BIG PLASTI 2 | wood-found    | Percussion, Atmosphere | DRIFT/WOOD/fnd_wood_bigplasticbin4-clean
165 | BOTTLE       | wood-found    | Percussion, Atmosphere | DRIFT/WOOD/fnd_wood_bottlecrinkleclap-clean
166 | DAMP GLASS   | wood-found    | Percussion, Atmosphere | DRIFT/WOOD/fnd_wood_dampglasssmashch-clean
167 | GARDEN FOR 3 | wood-found    | Percussion, Atmosphere | DRIFT/WOOD/fnd_wood_gardenforksnare3-clean
168 | METAL GATE 2 | wood-found    | Percussion, Atmosphere | DRIFT/WOOD/fnd_wood_metalgatenoattack-clean
169 | PLASTIC 2    | wood-found    | Percussion, Atmosphere | DRIFT/WOOD/fnd_wood_plasticimpactsnare-clea
170 | SKIP CRASH 2 | wood-found    | Percussion, Atmosphere | DRIFT/WOOD/fnd_wood_skipcrashnoattack-clean
171 | TWIG SNAP 2  | wood-found    | Percussion, Atmosphere | DRIFT/WOOD/fnd_wood_twigsnap2-clean
172 | WATER SLAP 1 | wood-found    | Percussion, Atmosphere | DRIFT/WOOD/fnd_wood_waterslap1-clean
173 | WINE GLASS 3 | wood-found    | Percussion, Atmosphere | DRIFT/WOOD/fnd_wood_wineglassmetal-clean
174 | WATER SPLA 3 | wood-found    | Percussion, Atmosphere | DRIFT/WOOD/fnd_wood_watersplash2-clean
225 | LP FOREST    | loop-field    | Loop, Atmosphere       | DRIFT/SCAPE/dsph_scape_forest
226 | LP FROGS     | loop-field    | Loop, Atmosphere       | DRIFT/SCAPE/dsph_scape_frog-concert
227 | LP RAIN      | loop-field    | Loop, Atmosphere       | DRIFT/SCAPE/dsph_scape_rain-thunder-car
228 | LP SAND      | loop-field    | Loop, Atmosphere       | DRIFT/SCAPE/dsph_scape_sand
229 | LP TRAFIC    | loop-field    | Loop, Atmosphere       | DRIFT/SCAPE/dsph_scape_trafic
230 | LP WIND WNDW | loop-field    | Loop, Atmosphere       | DRIFT/SCAPE/dsph_scape_wind-window
