# Preset bank H: DRIFT tones
# 001-032 bass · 033-080 stab · 081-112 keys · 113-160 lead · 161-192 pad · 193-224 scape · 225-240 noise · 241-256 fx
# slot | NAME (12 max) | recipe        | tags                   | sample on the +Drive | parameters
193 | FOREST       | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/dsph_scape_forest
194 | RAIN THUNDER | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/dsph_scape_rain-thunder-car
195 | WIND WINDOW  | scape-stretch | Texture, Soft          | DRIFT/SCAPE/dsph_scape_wind-window
196 | SAND         | scape-stretch | Texture, Soft          | DRIFT/SCAPE/dsph_scape_sand
197 | ELEMENTS     | scape-werp    | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_elements-drones-05
198 | TELAHARMONIC | scape-werp    | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_telaharmonic-drones-1
199 | BIRDS FM     | scape-werp    | Texture, Bright        | DRIFT/SCAPE/dx1_scape_chirpfx-e4
200 | FROGS        | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/dsph_scape_frog-concert
201 | DX CHIRP     | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/dx1_scape_chirpfx-a2
202 | ELEM DRONES  | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_elements-drones-01
203 | TELAH DRONES | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_telaharmonic-drones-0
204 | TRAFIC       | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/dsph_scape_trafic
205 | DX CHIRP 2   | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/dx1_scape_chirpfx-c6
206 | ELEM DRONE 2 | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_elements-drones-05
207 | TELAH DRON 2 | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_telaharmonic-drones-1
208 | DX CHIRP 3   | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/dx1_scape_chirpfx-cs1
209 | ELEM DRONE 3 | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_elements-drones-10
210 | TELAH DRON 3 | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_telaharmonic-drones-2
211 | DX CHIRP 4   | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/dx1_scape_chirpfx-e4
212 | ELEM DRONE 4 | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_elements-drones-14
213 | TELAH DRON 4 | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_telaharmonic-drones-3
214 | ELEM WERP    | scape-werp    | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_elements-drones-01
215 | TELAH WERP   | scape-werp    | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_telaharmonic-drones-0
