# Preset bank C: RITE drums
# 001-024 low · 025-048 snap · 049-072 hat · 073-096 metal · 097-160 hand · 161-192 wood · 193-224 slice · 225-256 loop
# slot | NAME (12 max) | recipe        | tags                   | sample on the +Drive | parameters
117 | BONGO 2      | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_bongo
118 | BONGOS ROLL  | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_bongos-roll
119 | CONGA BIG    | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_conga-big
120 | DJEMBE CHOKE | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_djembe-choke
121 | DUMBEK       | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_dumbek
122 | FIRE DR GST  | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_fire-drum-ghost
123 | GNAWA DRUM   | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_gnawa-drum
124 | GOURD BONGO  | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_gourd-bongo-soft
125 | HAIR DRUM    | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_hair-drum
126 | MINI AGUUDU  | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_mini-aguudu
127 | MONKEY DRUM  | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_monkey-drum
128 | PNDRO CHOKE  | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_pandiero-choke
129 | PEG DRUM CHK | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_peg-drum-choke
130 | QUINTO       | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_quinto
131 | REPENIQUE    | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_repenique
132 | RIQ          | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_riq
133 | SABAR CHK LO | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_sabar-choke-lo
134 | TAMA LO      | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_tama-lo
135 | TIMBAU       | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_timbau-bottom
136 | TUBANO LOW   | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_tubano-low
137 | UDU IGBO LOW | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_uduigbo-low
138 | BONGO CHK 2  | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_bongo-choke2
139 | CONGA CHOKE  | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_conga-choke
140 | DJMB CHOKED  | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_djembe-choked
141 | DUMBEK CHOKE | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_dumbek-choke
142 | FIRE DRUM HI | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_fire-drum-hi
143 | GNAWA DR MED | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_gnawa-drum-med
144 | HAIR DRUM 2  | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_hair-drum-2
145 | MINI AGUUD 2 | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_mini-aguudu-choke2
146 | MONKEY DR HI | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_monkey-drumhigh
147 | PNDRO HARD   | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_pandiero-hard
148 | PEG DR CHK   | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_peg-drum-choke-lo
149 | QUINTO GHOST | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_quinto-ghost
150 | REPQ SIDE    | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_repenique-side
151 | RIQ 2        | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_riq2
152 | SABAR LO 2   | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_sabar-lo
153 | TAMA ROLL    | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_tama-roll
154 | TIMBAU TOP   | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_timbau-top
155 | TUBANO LOW 2 | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_tubano-low-hit2
156 | UDU IGBO SFT | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_uduigbo-soft-choke
157 | BONGO LOW    | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_bongo-low
158 | CONGA CHK LO | hand-dry      | Percussion, Acoustic   | RITE/HAND/skin_hand_conga-choke-lo
161 | CLAVE        | wood-click    | Percussion, Acoustic   | RITE/WOOD/pres_wood_clave-basic
162 | CLAVE SOFT   | wood-click    | Percussion, Soft       | RITE/WOOD/pres_wood_clave-soft
163 | WOODBLOCK    | wood-click    | Percussion, Acoustic   | RITE/WOOD/pres_wood_woodblock-soft
164 | STICKS       | wood-click    | Percussion             | RITE/WOOD/vdrm_wood_sticks-clean-01
165 | BLOCK EKKO   | wood-click    | Percussion, Vintage    | RITE/WOOD/ekko_wood_block-1-color-v1
166 | WOOD TOM     | wood-click    | Percussion, Acoustic   | RITE/WOOD/fnd_wood_woodtomfloor-clean
167 | KLIKKLAK     | wood-click    | Percussion, Acoustic   | RITE/WOOD/skin_wood_klikklak
168 | BOTTLECAPS   | wood-click    | Percussion, Acoustic   | RITE/WOOD/skin_wood_bottlecaps
169 | SLIT DRUM    | wood-click    | Percussion, Acoustic   | RITE/WOOD/skin_wood_bamboo-slit-drum-hard
170 | BELL SKIN    | wood-click    | Percussion, Acoustic   | RITE/WOOD/fnd_wood_woodbell-clean
171 | BLK SMASH V3 | wood-click    | Percussion, Acoustic   | RITE/WOOD/ekko_wood_block-1-smash-v3
172 | BOTTLE CAPS  | wood-click    | Percussion, Acoustic   | RITE/WOOD/skin_wood_bottlecaps-2
173 | BREATH       | wood-click    | Percussion, Acoustic   | RITE/WOOD/fnd_wood_breathsplash-clean
174 | CHINA BLOCK  | wood-click    | Percussion, Acoustic   | RITE/WOOD/skin_wood_china-block
175 | CHOPPING     | wood-click    | Percussion, Acoustic   | RITE/WOOD/fnd_wood_choppingboardskick-clea
176 | CLAVE FLAM   | wood-click    | Percussion, Acoustic   | RITE/WOOD/pres_wood_clave-flam-glitch
177 | GULP         | wood-click    | Percussion, Acoustic   | RITE/WOOD/fnd_wood_gulp-clean
178 | WOOD HAT     | wood-click    | Percussion, Acoustic   | RITE/WOOD/fnd_wood_woodhat-clean
179 | KEYS DROP    | wood-click    | Percussion, Acoustic   | RITE/WOOD/fnd_wood_keysdropcarpet-clean
180 | KLIKKLAK RL  | wood-click    | Percussion, Acoustic   | RITE/WOOD/skin_wood_klikklak-roll
181 | SNARE 2      | wood-click    | Percussion, Acoustic   | RITE/WOOD/fnd_wood_woodsnare2-clean
182 | SQUELCH      | wood-click    | Percussion, Acoustic   | RITE/WOOD/fnd_wood_squelchmelon-clean
183 | VNL STICKS   | wood-click    | Percussion, Acoustic   | RITE/WOOD/vdrm_wood_sticks-clean-03
184 | TURTLE SHELL | wood-click    | Percussion, Acoustic   | RITE/WOOD/skin_wood_turtle-shell
185 | UGH          | wood-click    | Percussion, Acoustic   | RITE/WOOD/fnd_wood_ugh-clean
186 | BLOCK 2 V4   | wood-click    | Percussion, Acoustic   | RITE/WOOD/ekko_wood_block-2-color-v4
187 | CHINA BLOC 2 | wood-click    | Percussion, Acoustic   | RITE/WOOD/skin_wood_china-block-long
188 | CLAVE HARD   | wood-click    | Percussion, Acoustic   | RITE/WOOD/pres_wood_clave-hard
189 | VNL STICKS 2 | wood-click    | Percussion, Acoustic   | RITE/WOOD/vdrm_wood_sticks-clean-06
190 | TURTLE SHE 2 | wood-click    | Percussion, Acoustic   | RITE/WOOD/skin_wood_turtle-shell-hi
193 | SL 6-8 EKKO  | slice-grid    | Loop, Vintage          | RITE/LOOP/ekko_loop_12-step-full-a-6-8-100
194 | SL WARRIOR   | slice-grid    | Loop, Percussion       | RITE/LOOP/808l_loop_tom-combo-warrior-128
195 | SL CONGA     | slice-grid    | Loop, Percussion       | RITE/LOOP/808l_loop_conga-combo-define-120
196 | SL CLAVE     | slice-grid    | Loop, Vintage          | RITE/LOOP/ekko_loop_clave-boss-color-120
197 | SL SAMBA TOP | slice-grid    | Loop, Percussion       | RITE/LOOP/visc_loop_samba-3-top-sd-perc-hi
198 | SL 110 SABAR | slice-grid    | Loop, Acoustic         | RITE/LOOP/skin_loop_110-ana-brushed-sabar
199 | SL 110 SURDO | slice-grid    | Loop, Acoustic         | RITE/LOOP/skin_loop_110-ana-surdo
200 | SL 100 UDU   | slice-grid    | Loop, Acoustic         | RITE/LOOP/skin_loop_100-iko-agu-udu
201 | SL 140 UDIN  | slice-grid    | Loop, Acoustic         | RITE/LOOP/skin_loop_140-underground-udin
202 | SL 120 MONKY | slice-grid    | Loop, Acoustic         | RITE/LOOP/skin_loop_120-dragon-monkey-drum
203 | SL 80 BOTTLE | slice-grid    | Loop, Acoustic         | RITE/LOOP/skin_loop_80-at-the-mic-bottle-c
204 | SL 100 IKO   | slice-grid    | Loop, Acoustic         | RITE/LOOP/skin_loop_100-iko-full
205 | SL 110 BOX   | slice-grid    | Loop, Acoustic         | RITE/LOOP/skin_loop_110-march-agu-timp-box
206 | SL 120 RINGS | slice-grid    | Loop, Acoustic         | RITE/LOOP/skin_loop_120-buzz-brass-rings
207 | SL 125 SNARE | slice-grid    | Loop, Acoustic         | RITE/LOOP/skin_loop_125-pata-duval-snare
208 | SL 140 ANKL  | slice-grid    | Loop, Acoustic         | RITE/LOOP/skin_loop_140-fine-anklungs
209 | SL 160 ROLL  | slice-grid    | Loop, Acoustic         | RITE/LOOP/skin_loop_160-roll-full
210 | SL 80 AT HA  | slice-grid    | Loop, Acoustic         | RITE/LOOP/skin_loop_80-at-the-mic-small-ha
211 | SL 95 SQRPG  | slice-grid    | Loop, Acoustic         | RITE/LOOP/skin_loop_95-squarepeg-full
212 | SL BN WNS    | slice-grid    | Loop, Acoustic         | RITE/LOOP/mpop_loop_beanie-weenies-148
213 | SL BEEPER 1  | slice-grid    | Loop, Acoustic         | RITE/LOOP/ekko_loop_sd-perc-beeper-color-1
214 | SL BLDR STRT | slice-grid    | Loop, Acoustic         | RITE/LOOP/mpop_loop_boulder-strut-89
